date_utc,price_usd,high_usd,low_usd,source
2025-04-16,1.000100,1.000100,0.999800,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-17,1.000100,1.000500,0.999900,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-18,1.000100,1.000200,1.000000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-19,1.000100,1.000200,1.000000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-20,1.000000,1.000200,0.999900,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-21,1.000000,1.000200,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-22,0.999600,1.000100,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-23,0.999500,0.999900,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-24,0.999500,1.000000,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-25,0.999300,0.999700,0.999000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-26,0.999700,0.999700,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-27,0.999600,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-28,0.999800,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-29,0.999700,0.999800,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-30,1.000000,1.000100,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-01,0.999700,1.000000,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-02,0.999600,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-03,0.999800,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-04,0.999900,1.000000,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-05,1.000200,1.000200,0.999800,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-06,1.000100,1.000300,1.000000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-07,0.999900,1.000200,0.999800,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-05-08,1.000100,1.000100,0.999800,binance.com/api/v3/klines USDCUSDT 1d ohlc
